,prob_thresh,bone_thresh,size_thresh,accuracy,precision,recall,accuracy_mean,precision_mean,recall_mean,accuracy_std,precision_std,recall_std
0,0.0,200.0,0.0,[0.9995083808898926],[0.32533136010169983],[1.0],0.9995083808898926,0.32533136010169983,1.0,0.0,0.0,0.0
1,0.0,200.0,555.5555555555555,[0.9995083808898926],[0.32533136010169983],[1.0],0.9995083808898926,0.32533136010169983,1.0,0.0,0.0,0.0
2,0.0,200.0,1111.111111111111,[0.9995083808898926],[0.32533136010169983],[1.0],0.9995083808898926,0.32533136010169983,1.0,0.0,0.0,0.0
3,0.0,200.0,1666.6666666666665,[0.9995153546333313],[0.3270399272441864],[0.9871430993080139],0.9995153546333313,0.3270399272441864,0.9871430993080139,0.0,0.0,0.0
4,0.0,200.0,2222.222222222222,[0.9995153546333313],[0.3270399272441864],[0.9871430993080139],0.9995153546333313,0.3270399272441864,0.9871430993080139,0.0,0.0,0.0
5,0.0,200.0,2777.777777777778,[0.9995153546333313],[0.3270399272441864],[0.9871430993080139],0.9995153546333313,0.3270399272441864,0.9871430993080139,0.0,0.0,0.0
6,0.0,200.0,3333.333333333333,[0.9995153546333313],[0.3270399272441864],[0.9871430993080139],0.9995153546333313,0.3270399272441864,0.9871430993080139,0.0,0.0,0.0
7,0.0,200.0,3888.8888888888887,[0.9995153546333313],[0.3270399272441864],[0.9871430993080139],0.9995153546333313,0.3270399272441864,0.9871430993080139,0.0,0.0,0.0
8,0.0,200.0,4444.444444444444,[0.9995132684707642],[0.31573790311813354],[0.9020744562149048],0.9995132684707642,0.31573790311813354,0.9020744562149048,0.0,0.0,0.0
9,0.0,200.0,5000.0,[0.9995223879814148],[0.3106255829334259],[0.8320713043212891],0.9995223879814148,0.3106255829334259,0.8320713043212891,0.0,0.0,0.0
10,0.001,200.0,0.0,[0.9995083808898926],[0.32533136010169983],[1.0],0.9995083808898926,0.32533136010169983,1.0,0.0,0.0,0.0
11,0.001,200.0,555.5555555555555,[0.9995083808898926],[0.32533136010169983],[1.0],0.9995083808898926,0.32533136010169983,1.0,0.0,0.0,0.0
12,0.001,200.0,1111.111111111111,[0.9995083808898926],[0.32533136010169983],[1.0],0.9995083808898926,0.32533136010169983,1.0,0.0,0.0,0.0
13,0.001,200.0,1666.6666666666665,[0.9995153546333313],[0.3270399272441864],[0.9871430993080139],0.9995153546333313,0.3270399272441864,0.9871430993080139,0.0,0.0,0.0
14,0.001,200.0,2222.222222222222,[0.9995153546333313],[0.3270399272441864],[0.9871430993080139],0.9995153546333313,0.3270399272441864,0.9871430993080139,0.0,0.0,0.0
15,0.001,200.0,2777.777777777778,[0.9995153546333313],[0.3270399272441864],[0.9871430993080139],0.9995153546333313,0.3270399272441864,0.9871430993080139,0.0,0.0,0.0
16,0.001,200.0,3333.333333333333,[0.9995153546333313],[0.3270399272441864],[0.9871430993080139],0.9995153546333313,0.3270399272441864,0.9871430993080139,0.0,0.0,0.0
17,0.001,200.0,3888.8888888888887,[0.9995153546333313],[0.3270399272441864],[0.9871430993080139],0.9995153546333313,0.3270399272441864,0.9871430993080139,0.0,0.0,0.0
18,0.001,200.0,4444.444444444444,[0.9995132684707642],[0.31573790311813354],[0.9020744562149048],0.9995132684707642,0.31573790311813354,0.9020744562149048,0.0,0.0,0.0
19,0.001,200.0,5000.0,[0.9995223879814148],[0.3106255829334259],[0.8320713043212891],0.9995223879814148,0.3106255829334259,0.8320713043212891,0.0,0.0,0.0
20,0.0023713737056616554,200.0,0.0,[0.9995083808898926],[0.32533136010169983],[1.0],0.9995083808898926,0.32533136010169983,1.0,0.0,0.0,0.0
21,0.0023713737056616554,200.0,555.5555555555555,[0.9995083808898926],[0.32533136010169983],[1.0],0.9995083808898926,0.32533136010169983,1.0,0.0,0.0,0.0
22,0.0023713737056616554,200.0,1111.111111111111,[0.9995083808898926],[0.32533136010169983],[1.0],0.9995083808898926,0.32533136010169983,1.0,0.0,0.0,0.0
23,0.0023713737056616554,200.0,1666.6666666666665,[0.9995153546333313],[0.3270399272441864],[0.9871430993080139],0.9995153546333313,0.3270399272441864,0.9871430993080139,0.0,0.0,0.0
24,0.0023713737056616554,200.0,2222.222222222222,[0.9995153546333313],[0.3270399272441864],[0.9871430993080139],0.9995153546333313,0.3270399272441864,0.9871430993080139,0.0,0.0,0.0
25,0.0023713737056616554,200.0,2777.777777777778,[0.9995153546333313],[0.3270399272441864],[0.9871430993080139],0.9995153546333313,0.3270399272441864,0.9871430993080139,0.0,0.0,0.0
26,0.0023713737056616554,200.0,3333.333333333333,[0.9995153546333313],[0.3270399272441864],[0.9871430993080139],0.9995153546333313,0.3270399272441864,0.9871430993080139,0.0,0.0,0.0
27,0.0023713737056616554,200.0,3888.8888888888887,[0.9995153546333313],[0.3270399272441864],[0.9871430993080139],0.9995153546333313,0.3270399272441864,0.9871430993080139,0.0,0.0,0.0
28,0.0023713737056616554,200.0,4444.444444444444,[0.9995132684707642],[0.31573790311813354],[0.9020744562149048],0.9995132684707642,0.31573790311813354,0.9020744562149048,0.0,0.0,0.0
29,0.0023713737056616554,200.0,5000.0,[0.9995223879814148],[0.3106255829334259],[0.8320713043212891],0.9995223879814148,0.3106255829334259,0.8320713043212891,0.0,0.0,0.0
30,0.005623413251903491,200.0,0.0,[0.9995083808898926],[0.32533136010169983],[1.0],0.9995083808898926,0.32533136010169983,1.0,0.0,0.0,0.0
31,0.005623413251903491,200.0,555.5555555555555,[0.9995083808898926],[0.32533136010169983],[1.0],0.9995083808898926,0.32533136010169983,1.0,0.0,0.0,0.0
